Food_Item,CO2_Emission,Category
snails (escargot),0.73,Meats
garlic,0.71,Agriculture
bread multicereal,0.7,Processed
zucchini,0.7,Agriculture
beer in can,0.69,Processed
oat,0.67,Agriculture
rice milk,0.66,Processed
pepper,0.65,Agriculture
currant,0.64,Agriculture
olives,0.64,Agriculture
raspberry,0.63,Agriculture
soy meal,0.62,Processed
cane sugar,0.62,Processed
melon,0.61,Agriculture
strawberry,0.61,Agriculture
date,0.6,Agriculture
coffee drip filtered,0.6,Processed
wheat,0.57,Agriculture
broccoli,0.57,Agriculture
soybean,0.56,Agriculture
espresso,0.55,Processed
pineapple,0.55,Agriculture
avocado,0.54,Agriculture
vegetables,0.54,Agriculture
beer modular can,0.53,Processed
wheat plain flour,0.52,Processed
watermelon,0.52,Agriculture
green bean (fresh),0.52,Agriculture
pomelo,0.51,Agriculture
yeast liquid,0.5,Processed
pear juice,0.49,Processed
mineral water,0.49,Processed
kiwi,0.49,Agriculture
cowpea,0.49,Agriculture
barley,0.48,Agriculture
maize,0.48,Agriculture
fennel,0.48,Agriculture
mixed nuts,0.47,Agriculture
durum wheat,0.47,Processed
graham flour,0.47,Processed
orange juice,0.46,Processed
mussels,0.46,Fish
cherry,0.46,Agriculture
mandarin,0.45,Agriculture
tomato,0.45,Agriculture
pea,0.45,Agriculture
wine white (see: box wine),0.44,Processed
chestnut,0.44,Agriculture
bean,0.43,Agriculture
blackberry,0.42,Agriculture
almond milk,0.42,Processed
clementine,0.41,Agriculture
lettuce,0.41,Agriculture
coconut milk,0.41,Processed
rockmelon,0.39,Agriculture
peach,0.39,Agriculture
rye,0.38,Agriculture
tangerin,0.38,Agriculture
whole wheat flour,0.36,Processed
turnip,0.35,Agriculture
spinach,0.34,Agriculture
banana,0.34,Agriculture
coffee soluble powder,0.33,Processed
artichoke,0.33,Agriculture
celery,0.32,Agriculture
pomegranate,0.32,Agriculture
cauliflower,0.31,Agriculture
mango,0.31,Agriculture
grapes,0.31,Agriculture
apricot,0.3,Agriculture
orange,0.3,Agriculture
swede,0.29,Agriculture
starchy roots,0.29,Agriculture
guava,0.28,Agriculture
pineapple,0.28,Agriculture
green bean (fresh),0.28,Agriculture
sweet potato,0.27,Agriculture
carrots (f),0.27,Processed
pear,0.27,Agriculture
fig,0.26,Agriculture
plum,0.26,Agriculture
apple,0.25,Agriculture
beetroot,0.25,Agriculture
pumpkin,0.24,Agriculture
carrot,0.24,Agriculture
potato,0.24,Agriculture
cabagge,0.23,Agriculture
onion,0.22,Agriculture
lemon,0.22,Agriculture
lime,0.22,Agriculture
gerkin,0.21,Agriculture
eggplant,0.19,Agriculture
radish,0.15,Agriculture
beans in can,0.11,Processed
